species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
Gentoo,Biscoe,61.50621002,19.21260086,260,3037,female
Gentoo,Biscoe,42.33801613,17.24515612,222,6311,female
Adelie,Biscoe,43.82754128,20.34896378,199,4102,male
Adelie,Biscoe,44.6817559,16.83573813,220,3592,male
Adelie,Biscoe,37.33480399,24.11221065,185,2407,female
Adelie,Biscoe,51.60183961,18.89132197,206,2686,female
Adelie,Dream,49.50166412,16.30866652,200,4006,male
Chinstrap,Dream,48.20310112,13.38419606,206,4208,female
Adelie,Torgersen,30.84894205,22.53245928,195,4729,male
Gentoo,Biscoe,54.86021992,14.46947217,216,4981,male
Adelie,Dream,39.53553553,17.86032434,185,4045,male
Chinstrap,Dream,49.64344644,17.25513371,194,3196,female
Gentoo,Biscoe,58.27180089,15.98989476,216,7485,male
Adelie,Torgersen,40.60057068,19.17499757,214,3681,female
Chinstrap,Dream,54.73342248,16.29598109,226,3442,male
Chinstrap,Dream,56.3032957,21.2617495,178,3428,male
Chinstrap,Dream,49.30863931,17.73234515,185,3393,female
Gentoo,Biscoe,52.99114816,18.3350901,188,4947,male
Adelie,Torgersen,33.14650392,17.88119352,172,4405,female
Adelie,Dream,40.9989163,17.59505775,163,4303,male
Chinstrap,Dream,56.71718803,21.18069021,178,3046,male
Gentoo,Biscoe,58.86442232,13.37553512,199,4374,male
Adelie,Dream,38.98513348,14.63868832,169,4627,male
Chinstrap,Dream,54.29043715,20.28909296,190,3772,female
Gentoo,Biscoe,61.032706,16.4298896,200,5079,male
Gentoo,Biscoe,61.57252278,18.01910205,209,4977,male
Adelie,Biscoe,40.28175072,18.73192023,236,3799,male
Adelie,Biscoe,39.46735432,14.70779626,175,3330,male
Adelie,Torgersen,33.51795902,20.55276833,181,3195,male
Adelie,Biscoe,42.67152328,13.67350625,189,4426,male
Chinstrap,Dream,42.38346484,21.38261138,214,3940,male
Gentoo,Biscoe,55.94624021,18.7688664,222,6447,male
Gentoo,Biscoe,48.25004477,15.00252539,223,3393,male
Adelie,Torgersen,31.97651322,14.42372854,196,3038,female
Gentoo,Biscoe,50.52692315,13.9513766,249,5228,male
Adelie,Torgersen,39.40084176,15.3254019,177,4091,female
Adelie,Dream,48.71353247,20.75859552,204,4235,female
Adelie,Dream,38.68389684,23.6067704,174,3442,female
Adelie,Torgersen,41.87954805,22.4505661,179,3705,female
Chinstrap,Dream,41.88843213,18.63345456,167,3830,female
Gentoo,Biscoe,42.82803644,11.95452398,245,3599,male
Adelie,Torgersen,42.36497867,17.25890003,170,4755,male
Gentoo,Biscoe,47.52828164,17.31357228,222,7275,male
Chinstrap,Dream,41.46867124,23.11096181,184,2000,female
Adelie,Torgersen,37.97178211,23.77853453,184,3687,male
Gentoo,Biscoe,49.08268454,17.28685137,225,4749,male
Gentoo,Biscoe,43.4542374,17.67009766,196,6363,female
Adelie,Dream,38.24728741,16.11082917,186,4178,female
Gentoo,Biscoe,56.04809982,13.77364394,221,3350,male
Gentoo,Biscoe,46.75721043,17.55539332,227,2000,female
Chinstrap,Dream,40.07673634,20.84665172,237,3277,male
Adelie,Dream,40.88382989,20.14341018,212,2701,female
Chinstrap,Dream,51.88974493,21.04886861,208,2907,female
Adelie,Torgersen,36.05375444,18.15365586,210,2393,male
Gentoo,Biscoe,53.18470557,16.02587394,240,5612,female
Chinstrap,Dream,42.39353535,10,198,2000,male
Adelie,Biscoe,41.73539344,14.08932933,215,3975,male
Adelie,Biscoe,34.12399009,15.06795071,181,3706,male
Chinstrap,Dream,48.1870514,16.53499759,199,5374,male
Adelie,Dream,30.26373057,10,166,8000,male
Gentoo,Biscoe,47.24969476,13.2260434,230,3947,female
Gentoo,Biscoe,40.34142443,11.90135827,224,7901,female
Gentoo,Biscoe,51.15730648,12.57555035,213,4819,female
Gentoo,Biscoe,62.24200537,10.80653475,223,5440,male
Adelie,Dream,44.01297351,18.73682249,197,4401,male
Adelie,Biscoe,37.86250484,16.0669471,257,2000,female
Adelie,Dream,27.46303051,17.84688447,192,2987,female
Adelie,Dream,31.61411894,15.29523526,176,4913,male
Adelie,Dream,34.53913099,17.07668545,208,2778,male
Chinstrap,Dream,70,17.44498112,170,5372,female
Gentoo,Biscoe,48.08532771,12.82751545,193,4039,male
Adelie,Biscoe,42.66169169,21.69174683,181,3622,female
Adelie,Dream,32.91973165,18.5779271,185,2624,female
Chinstrap,Dream,56.96563394,18.48860158,191,3845,male
Adelie,Dream,34.83180648,17.15040559,203,4354,female
Chinstrap,Dream,47.31912157,17.58793424,199,3335,female
Gentoo,Biscoe,50.6753776,12.43399915,237,6171,male
Gentoo,Biscoe,54.98645074,13.38264087,234,4835,male
Chinstrap,Dream,44.77703687,18.92270726,199,3765,female
Gentoo,Biscoe,25.33686005,15.20423835,188,5344,female
Gentoo,Biscoe,46.92971847,14.60426927,215,4471,female
Adelie,Biscoe,33.31205797,21.69814403,190,4668,male
Chinstrap,Dream,48.83799035,19.51823932,210,3944,male
Adelie,Dream,48.655473,17.49909225,185,5183,male
Chinstrap,Dream,47.27611563,23.6770347,202,4214,female
Adelie,Dream,30.39901379,14.48258049,197,4097,female
Adelie,Dream,30.2365523,17.3623471,165,4610,male
Gentoo,Biscoe,55.29689518,13.69573087,204,2000,female
Chinstrap,Dream,56.60044549,19.84552034,206,3921,male
Adelie,Torgersen,47.39874401,15.2544521,182,2295,male
Chinstrap,Dream,58.84464742,20.15502516,176,3885,female
Gentoo,Biscoe,48.25842034,16.14389621,211,6015,male
Gentoo,Biscoe,47.56569726,14.75392259,210,5970,male
Gentoo,Biscoe,46.91012972,11.73277587,231,3911,female
Chinstrap,Dream,52.86544193,14.85672643,180,3281,male
Adelie,Torgersen,43.19616834,17.61501455,197,3264,female
Adelie,Dream,38.64249036,19.96407897,191,3237,female
Adelie,Dream,40.8489763,17.56109197,177,4249,male
Adelie,Torgersen,40.8002323,19.37934393,160,3825,male
Adelie,Biscoe,36.35287349,10,175,6224,female
Chinstrap,Dream,54.8184314,19.09825449,216,4630,female
Chinstrap,Dream,57.38371292,18.24070012,200,3891,male
Adelie,Biscoe,34.15237294,12.28360136,178,2000,female
Gentoo,Biscoe,38.44120828,16.51396997,230,5180,male
Gentoo,Biscoe,61.85299259,12.34681321,233,5560,male
Gentoo,Biscoe,44.75349255,13.69678065,204,4245,male
Gentoo,Biscoe,25,10,200,5104,male
Adelie,Dream,44.34329488,18.13333031,190,3714,female
Chinstrap,Dream,57.6547256,19.51212893,199,3770,female
Gentoo,Biscoe,56.20158415,17.08016061,223,6039,male
Gentoo,Biscoe,49.32439705,10.4346936,237,5194,female
Gentoo,Biscoe,48.19172353,13.05556613,249,5622,male
Adelie,Torgersen,36.43148467,23.78200034,172,2000,male
Adelie,Torgersen,36.32548073,12.176056,197,5393,male
Adelie,Biscoe,35.42182187,25.01815508,197,3510,female
Gentoo,Biscoe,45.58979056,16.56247728,209,3108,female
Chinstrap,Dream,47.61584325,17.1601692,202,2361,male
Gentoo,Biscoe,46.06983608,15.1581564,234,4554,male
Adelie,Dream,42.37317731,15.19954441,194,2746,female
Chinstrap,Dream,47.67113782,10.19118665,244,4963,male
Chinstrap,Dream,57.92502982,17.84353171,191,3842,male
Chinstrap,Dream,46.98801587,18.14694559,221,5053,female
Gentoo,Biscoe,49.21430745,15.83727749,230,5396,male
Chinstrap,Dream,25,22.4718106,258,5480,male
Adelie,Biscoe,48.84454121,18.16843471,206,2947,female
Adelie,Biscoe,41.12327554,14.48643255,196,3515,male
Adelie,Torgersen,36.39723616,13.80839949,171,5490,female
Adelie,Biscoe,42.42373213,20.12808067,169,3375,female
Adelie,Torgersen,34.96893266,14.97246292,207,4818,female
Adelie,Biscoe,41.21616423,18.61262861,204,2436,female
Gentoo,Biscoe,42.17608748,15.47442615,218,4624,female
Adelie,Dream,30.37234576,18.14658447,197,3987,female
Gentoo,Biscoe,39.5479892,15.52594903,224,7407,female
Adelie,Torgersen,43.58781663,15.88149778,165,6340,female
Gentoo,Biscoe,53.21943167,18.9865689,221,6414,female
Adelie,Dream,30.53056372,22.37995305,215,4217,male
Adelie,Torgersen,34.71232112,22.70050439,201,4212,female
Chinstrap,Dream,53.44413615,20.13979149,177,4182,female
Gentoo,Biscoe,48.64972947,16.96227616,232,5762,female
Chinstrap,Dream,53.42180047,15.89591607,182,4215,female
Gentoo,Biscoe,70,16.70979611,228,4090,female
Gentoo,Biscoe,42.47983155,13.82828916,200,4349,male
Adelie,Dream,30.37056322,14.40621432,198,3760,female
Gentoo,Biscoe,47.25178312,16.47409586,195,7586,male
Adelie,Biscoe,37.52270163,14.97324962,197,2000,female
Chinstrap,Dream,50.51456218,17.41987759,212,2819,male
Chinstrap,Dream,44.22093348,19.51947067,180,5407,female
Chinstrap,Dream,63.57057228,16.09326426,206,2677,female
Adelie,Biscoe,42.82469945,14.65560795,210,2893,female
Adelie,Biscoe,25,10,160,5923,male
Adelie,Torgersen,32.07879526,16.792966,217,3365,male
Adelie,Dream,41.54363665,18.42664317,180,2129,male
Gentoo,Biscoe,48.05047038,15.78373302,225,5320,male
Gentoo,Biscoe,42.85033704,10.25953913,209,4025,male
Adelie,Biscoe,31.41297397,15.12394019,188,3817,male
Chinstrap,Dream,48.50331886,16.25619121,197,5390,female
Gentoo,Biscoe,57.19652234,18.03110696,240,4170,male
Adelie,Torgersen,37.29249389,17.64120496,200,3752,male
Gentoo,Biscoe,44.72976637,12.70508336,229,5849,female
Chinstrap,Dream,42.68759764,20.87906121,204,5284,male
Adelie,Dream,37.15124953,13.75326946,178,4841,male
Gentoo,Biscoe,55.23051859,17.17552868,232,4206,male
Gentoo,Biscoe,56.30235032,13.55672492,206,5986,female
Gentoo,Biscoe,32.35604846,11.80930382,202,4924,male
Adelie,Dream,37.92978295,16.29702898,193,2727,male
Gentoo,Biscoe,34.62173768,11.97566782,171,6895,female
Gentoo,Biscoe,44.28239784,12.05097516,199,5002,male
Chinstrap,Dream,57.7355961,17.11591266,213,3959,female
Chinstrap,Dream,41.20180318,20.13114348,219,3915,female
Adelie,Dream,36.37813048,17.23793635,179,4686,male
Gentoo,Biscoe,47.33261765,16.22431229,222,4160,male
Chinstrap,Dream,50.07146749,21.75002848,213,3656,male
Chinstrap,Dream,42.70274781,17.09014557,160,4807,female
Adelie,Torgersen,33.86577927,15.5001416,187,3970,male
Adelie,Dream,40.9301675,20.82021874,180,4422,female
Gentoo,Biscoe,48.86653652,14.86347877,220,5517,female
Adelie,Biscoe,34.39980574,20.43776873,161,3074,female
Gentoo,Biscoe,44.92585666,16.51298266,192,7933,male
Chinstrap,Dream,70,13.12486679,179,6677,female
Adelie,Torgersen,32.18104074,17.25819193,193,2342,female
Adelie,Biscoe,29.79739555,18.16566825,177,3035,male
Gentoo,Biscoe,55.86577669,13.44975125,232,5027,male
Gentoo,Biscoe,46.16512595,12.46457637,226,6107,female
Adelie,Torgersen,46.46573346,19.01437274,186,4093,male
Adelie,Biscoe,44.40702721,15.90686316,178,5084,female
Adelie,Dream,45.8468368,17.19148082,185,3233,female
Gentoo,Biscoe,41.52004258,13.74887602,206,5875,female
Chinstrap,Dream,38.54608421,18.30763849,172,4003,male
Adelie,Biscoe,38.69665895,24.14339094,199,4303,female
Adelie,Biscoe,44.53755447,21.45014569,168,4767,male
Gentoo,Biscoe,52.57677995,12.26260661,199,7082,female
Adelie,Torgersen,40.86790408,17.26432649,160,2000,female
Adelie,Torgersen,38.51445102,17.58740471,195,4308,male
Adelie,Dream,33.88218698,14.77306236,181,3576,female
Gentoo,Biscoe,46.3112132,19.43483236,201,3219,female
Adelie,Biscoe,42.34397128,19.62716613,171,4710,female
Gentoo,Biscoe,45.48404835,14.76085889,228,5761,female
Gentoo,Biscoe,50.03783118,16.97116459,196,3343,male
Adelie,Torgersen,30.54291027,17.43765509,188,3206,female
Adelie,Biscoe,25,20.8278786,229,3724,female
Gentoo,Biscoe,61.57043997,12.38629231,218,4870,male
Adelie,Torgersen,42.71833951,17.09413053,191,3022,male
Adelie,Dream,37.95646116,14.9466965,217,3563,female
Adelie,Biscoe,34.35520005,19.75368462,190,3954,male
Adelie,Torgersen,39.04322095,24.11464327,160,3767,female
Chinstrap,Dream,40.65422633,23.24961501,190,5563,male
Adelie,Biscoe,39.2522779,19.66127566,201,4894,female
Adelie,Dream,45.7410919,16.82180713,185,2000,female
Chinstrap,Dream,52.88914051,20.68935556,196,5559,female
Gentoo,Biscoe,56.11090379,16.09278935,209,2000,female
Adelie,Torgersen,39.85861667,23.79821617,166,5629,male
Adelie,Torgersen,25,18.69762689,184,4391,male
Chinstrap,Dream,56.45845569,20.02818323,206,4621,female
Adelie,Dream,30.73551461,14.3390079,213,4419,male
Gentoo,Biscoe,49.70827685,15.05454726,212,4306,male
Adelie,Torgersen,40.15764603,16.56739882,168,2966,female
Gentoo,Biscoe,48.0588666,15.11376353,212,3856,male
Gentoo,Biscoe,65.84394467,13.33642537,215,6046,female
Chinstrap,Dream,40.53591991,16.41248683,198,4035,female
Gentoo,Biscoe,70,16.11010589,238,3727,female
Adelie,Biscoe,30.4153955,15.43727056,203,4152,female
Adelie,Torgersen,46.24930622,13.62507506,231,6193,female
Gentoo,Biscoe,62.51885783,14.36040731,214,4813,female
Gentoo,Biscoe,49.63217081,18.65501808,226,5666,female
Adelie,Biscoe,30.39945768,18.04402028,175,4663,female
Adelie,Biscoe,43.16774325,20.68963283,194,3911,male
Gentoo,Biscoe,44.81023627,16.08301749,257,4976,male
Gentoo,Biscoe,39.93947612,17.61555014,218,5405,male
Chinstrap,Dream,67.11267064,16.54519898,213,4282,male
Adelie,Torgersen,38.67206517,22.85106977,201,4051,male
Adelie,Biscoe,41.54899196,19.24252753,220,4218,male
Gentoo,Biscoe,47.24805358,12.69681817,219,5361,male
Gentoo,Biscoe,49.63936771,16.43420087,220,4028,female
Gentoo,Biscoe,41.41006155,12.62801845,217,6159,male
Chinstrap,Dream,51.44628305,15.87891293,185,2945,male
Chinstrap,Dream,50.76895554,19.92239768,194,4139,male
Chinstrap,Dream,40.08604282,17.10076418,215,4640,male
Gentoo,Biscoe,47.36103708,18.32787595,224,4579,male
Adelie,Biscoe,34.20194884,15.62518521,165,3962,female
Gentoo,Biscoe,46.79497594,18.16334629,211,4279,male
Adelie,Dream,40.81282117,13.32352049,180,4320,female
Gentoo,Biscoe,40.47836411,16.49243815,207,6530,male
Gentoo,Biscoe,56.30226228,13.57543601,196,3854,female
Gentoo,Biscoe,57.42304481,17.945603,221,3937,male
Adelie,Torgersen,34.72530606,22.45865296,195,4195,female
Adelie,Dream,34.21946196,15.10643197,196,3798,female
Adelie,Torgersen,48.10487191,15.55627885,174,3469,female
Adelie,Torgersen,41.9568053,23.25416105,160,3682,female
Chinstrap,Dream,54.42741802,18.31534936,193,3433,female
Gentoo,Biscoe,48.65971485,14.99974993,219,4887,female
Adelie,Torgersen,38.74844795,18.79781413,189,2685,female
Gentoo,Biscoe,50.77148063,13.43031453,201,5337,male
Gentoo,Biscoe,60.65184065,15.0710185,215,6248,female
Adelie,Torgersen,25,23.70108266,191,8000,female
Chinstrap,Dream,49.67494769,19.94915569,197,2674,male
Chinstrap,Dream,53.03920483,20.98922547,213,4092,male
Adelie,Dream,32.27507801,17.9158596,194,3294,female
Adelie,Dream,47.91389881,24.45494653,183,4105,female
Gentoo,Biscoe,52.37097948,15.17013372,214,5214,female
Chinstrap,Dream,45.13055474,19.67674013,198,4697,male
Adelie,Torgersen,44.87704166,15.66207119,200,3473,male
Gentoo,Biscoe,55.6795214,10.5568525,222,3431,male
Chinstrap,Dream,43.15420823,14.81746584,223,2599,female
Chinstrap,Dream,46.3458941,14.54052271,190,4316,female
Adelie,Biscoe,36.65016689,18.3196152,183,4048,male
Adelie,Biscoe,39.95498111,16.53133407,177,5182,female
Chinstrap,Dream,49.3353831,17.56211705,228,2000,female
Adelie,Torgersen,43.03350009,15.09538835,179,4138,female
Adelie,Biscoe,29.41941977,21.081263,216,3361,male
Gentoo,Biscoe,48.18969943,17.47257621,216,4662,female
Adelie,Torgersen,47.32064059,12.18575009,174,5498,male
Gentoo,Biscoe,49.52947387,14.76159305,216,4547,female
Adelie,Dream,59.36021088,22.45884054,170,5035,female
Chinstrap,Dream,57.41903372,19.61432907,226,4916,female
Adelie,Dream,36.33781273,20.82410945,199,3604,male
Gentoo,Biscoe,51.79850643,16.69585298,229,3659,male
Adelie,Torgersen,35.62710555,19.41088555,197,2888,male
Gentoo,Biscoe,43.4495124,11.03440747,224,5143,male
Adelie,Biscoe,35.02953915,19.29013505,183,4316,male
Adelie,Dream,38.81306253,18.45825537,185,4606,male
Adelie,Biscoe,36.71685101,11.87053931,188,3259,female
Gentoo,Biscoe,53.40068715,13.38496518,211,4012,female
Gentoo,Biscoe,39.48486966,14.31082516,247,5132,male
Adelie,Dream,31.82391035,18.20656012,197,2665,male
Chinstrap,Dream,57.29528172,15.01796038,180,2313,female
Chinstrap,Dream,54.16244617,20.04690923,182,2706,female
Chinstrap,Dream,44.17399174,18.81278695,207,3934,male
Adelie,Dream,26.25078676,17.55960335,193,3437,female
Adelie,Torgersen,43.05088979,18.15020842,192,2717,female
Adelie,Biscoe,32.82781805,14.69840493,184,4915,female
Adelie,Dream,38.01875544,17.41321307,166,3117,female
Adelie,Biscoe,43.15473935,20.3165798,190,3493,female
Gentoo,Biscoe,33.8811461,22.71308078,160,3509,female
Adelie,Biscoe,36.77128477,15.05451598,190,5005,female
Adelie,Biscoe,39.39372075,17.23358304,244,3772,female
Chinstrap,Dream,52.59551808,19.40027828,209,3857,female
Gentoo,Biscoe,53.01068492,14.32028065,213,3444,male
Adelie,Dream,38.58340477,14.14322153,191,3826,male
Gentoo,Biscoe,43.84014648,16.99675188,179,4697,female
Adelie,Dream,36.23587071,20.72167879,179,3840,male
Gentoo,Biscoe,55.52709577,17.47982105,197,3864,male
Adelie,Biscoe,37.26794302,19.25462027,168,4482,male
Gentoo,Biscoe,45.07394748,16.1291057,206,6125,male
Gentoo,Biscoe,55.51844508,16.13622006,227,2098,female
Gentoo,Biscoe,50.12663695,14.37584649,196,4483,female
Adelie,Torgersen,47.21917537,16.51844234,174,5169,male
Gentoo,Biscoe,49.83428104,13.05650012,232,6938,female
Chinstrap,Dream,48.0808166,21.76992504,190,2345,female
Adelie,Torgersen,44.3038739,24.29445378,220,4404,female
Adelie,Torgersen,37.0484547,15.92353383,185,2000,male
Adelie,Biscoe,54.04129387,20.46999923,182,4272,male
Chinstrap,Dream,37.26300406,21.65977095,206,2698,female
Chinstrap,Dream,53.37664053,19.34100948,182,3172,female
Adelie,Biscoe,44.26631775,15.9294407,171,4858,female
Chinstrap,Dream,32.8787275,15.85007862,257,8000,male
Adelie,Torgersen,52.56099274,19.18914761,193,4718,male
Gentoo,Biscoe,42.58739165,17.18068431,201,5638,female
Gentoo,Biscoe,56.73582165,12.73662279,230,3327,male
Chinstrap,Dream,58.03631565,16.72823964,197,3312,female
Adelie,Biscoe,40.62987093,19.53625931,171,4281,male
Adelie,Biscoe,38.84071009,16.35115326,229,2126,male
Gentoo,Biscoe,36.43681057,11.18853491,226,4545,female
Adelie,Biscoe,36.58943966,15.25705812,160,3907,female
Adelie,Biscoe,40.1758369,14.3404221,220,4796,female
Gentoo,Biscoe,51.34978396,16.20821147,188,8000,female
Chinstrap,Dream,45.12768733,10.82623103,160,5440,female
Gentoo,Biscoe,45.51722841,13.36725697,225,4489,female
Chinstrap,Dream,54.24651908,16.95706042,202,4062,female
Gentoo,Biscoe,45.70480463,14.63395391,197,6920,male
Gentoo,Biscoe,58.70316357,14.2982084,186,6760,male
Chinstrap,Dream,50.37825879,19.91828307,205,2333,male
Gentoo,Biscoe,46.0089053,13.9724943,243,6088,female
Gentoo,Biscoe,50.56680599,16.18504281,216,3704,female
Adelie,Dream,31.34398663,18.91603408,204,4738,female
Adelie,Dream,42.09117458,16.83811346,187,5849,female
Gentoo,Biscoe,46.63009371,15.09186637,191,5047,female
Adelie,Biscoe,45.9080477,20.26440801,191,3093,female
Chinstrap,Dream,44.6453252,20.55287503,180,2167,male
Gentoo,Biscoe,38.50848782,11.98086133,234,4855,male
Adelie,Torgersen,46.27906399,16.85685641,213,4089,female
Chinstrap,Dream,40.27722646,16.77057746,194,4270,male
Adelie,Biscoe,38.04372658,21.07258294,214,4476,male
Gentoo,Biscoe,47.47752848,15.70037801,212,4517,female
Adelie,Biscoe,33.06187608,19.693957,222,3782,male
Chinstrap,Dream,46.64923784,16.98239368,194,5349,male
Gentoo,Biscoe,60.30577628,12.78141532,213,5994,male
Chinstrap,Dream,38.75132359,19.29691508,179,5994,male
Adelie,Dream,39.92099601,15.02043402,182,2393,male
Chinstrap,Dream,53.83734672,16.99390809,188,4867,male
Gentoo,Biscoe,52.18118506,12.48906694,210,6078,male
Gentoo,Biscoe,55.29777049,13.50130403,240,6533,male
Chinstrap,Dream,44.32619968,18.94000436,215,2460,male
Adelie,Torgersen,30.93581621,15.84119907,160,5830,male
Adelie,Dream,34.78387358,21.35152467,160,3727,male
Gentoo,Biscoe,49.61317379,16.47891259,205,5100,female
Chinstrap,Dream,52.53013175,17.7312443,201,3782,male
Adelie,Dream,43.10290338,17.60307,160,4424,male
Gentoo,Biscoe,36.31076842,12.48802448,231,3904,male
Adelie,Torgersen,46.07274581,18.24807044,188,3145,male
Gentoo,Biscoe,60.2623084,17.34509082,216,3539,female
Gentoo,Biscoe,66.26278539,16.70342892,192,4397,female
Adelie,Dream,31.62533196,16.94280142,208,3539,male
Gentoo,Biscoe,53.0377843,17.24376343,238,5134,male
Adelie,Biscoe,51.72685061,10.28714579,244,2436,male
Chinstrap,Dream,48.8364792,15.282384,196,3988,male
Gentoo,Biscoe,38.5174887,14.39063046,204,2000,female
Adelie,Torgersen,29.51324833,17.43635135,198,4065,male
Gentoo,Biscoe,52.77645996,14.95630301,201,4034,male
Gentoo,Biscoe,50.95685452,15.00933626,215,5769,female
Gentoo,Biscoe,51.46578889,15.67856166,209,3941,male
Adelie,Biscoe,37.4930452,17.11098093,229,2932,female
Gentoo,Biscoe,41.8820782,15.25791913,244,6102,male
Gentoo,Biscoe,53.41002433,15.24632128,232,4904,male
Chinstrap,Dream,56.17685084,19.2269363,207,2000,male
Adelie,Biscoe,52.70317424,22.11782558,185,2841,male
Gentoo,Biscoe,54.28943218,13.84409699,232,6573,male
Gentoo,Biscoe,44.89134403,11.89848413,208,4834,female
Gentoo,Biscoe,39.45871204,17.31178769,248,5732,male
Adelie,Torgersen,31.820261,19.82960616,197,4440,male
Gentoo,Biscoe,52.30969709,18.43624891,197,3818,female
Adelie,Biscoe,34.90972015,20.28464941,185,5461,female
Adelie,Torgersen,36.50720881,20.0644786,204,2621,female
Chinstrap,Dream,51.47628248,21.95644229,216,3006,female
Adelie,Biscoe,42.24256233,15.81995614,206,4093,female
Gentoo,Biscoe,53.23192875,30,230,8000,male
Gentoo,Biscoe,39.70345134,16.91642033,213,4928,male
Gentoo,Biscoe,60.43725915,10.92183115,218,4287,female
Gentoo,Biscoe,46.70759442,16.00489411,211,5810,female
Chinstrap,Dream,50.33469503,15.37520758,201,4487,male
Gentoo,Biscoe,56.89439391,10.43871723,189,3548,male
Gentoo,Biscoe,25,28.79598685,160,3974,male
Chinstrap,Dream,59.94292525,19.56340437,182,3735,male
Gentoo,Biscoe,43.56434796,16.67300797,221,6290,male
Gentoo,Biscoe,47.23418395,11.81089605,223,7029,female
Adelie,Dream,53.06221047,15.32552598,205,3123,male
Gentoo,Biscoe,59.4966018,12.94076963,209,3323,female
Adelie,Dream,36.07810305,19.50682574,172,3336,male
Gentoo,Biscoe,53.62921824,16.16231843,212,3359,female
Adelie,Biscoe,44.64068373,12.54371107,162,2000,male
Gentoo,Biscoe,53.23554711,14.92486129,219,5912,female
Gentoo,Biscoe,52.11405507,15.30790006,184,4652,female
Gentoo,Biscoe,48.55561018,13.66489446,210,6311,male
Adelie,Biscoe,32.72962244,10,180,2000,male
Chinstrap,Dream,69.85860093,10,160,2000,female
Adelie,Torgersen,44.0194115,14.48582069,170,2737,male
Chinstrap,Dream,36.76930451,18.74334924,260,2000,male
